,H1,H2,H3,H4,H5,H6,H7,H8,HWavg,Q1,Q2,Proj1,Proj2,total
0,10.0,10.0,10.0,10.0,9.5,9.5,10.0,10.0,9.875,93.61904762,81.09756098,96.75,97.0,91.79
1,10.0,10.0,10.0,9.9,9.5,9.0,10.0,10.0,9.8,76.09523809999999,66.46341463,96.5,86.0,84.84
2,10.0,10.0,9.5,10.0,9.5,10.0,10.0,10.0,9.875,86.38095238,85.36585366,95.0,95.0,90.86
3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.8,9.975,83.07692308,98.93,95.0,94.5,92.7
4,10.0,10.0,10.0,10.0,9.5,9.5,10.0,10.0,9.875,91.90476190000001,95.12195122,94.5,91.0,91.77
5,10.0,10.0,9.8,9.9,9.9,10.0,10.0,10.0,9.95,93.05263158,93.01470588,94.8,94.7,92.76
6,10.0,10.0,10.0,10.0,10.0,10.0,9.9,10.0,9.9875,94.23076923,93.6,93.0,93.17,92.32
7,9.5,10.0,10.0,10.0,9.9,10.0,10.0,10.0,9.925,88.84210526,85.29411765,95.0,95.3,91.3
8,9.5,9.9,10.0,10.0,10.0,9.5,10.0,10.0,9.8625,87.61904762,85.97560976,94.5,91.0,89.94
9,10.0,10.0,10.0,10.0,10.0,8.5,9.5,10.0,9.75,78.09523809999999,85.97560976,95.0,95.0,89.78
10,10.0,10.0,10.0,10.0,10.0,10.0,9.75,10.0,9.96875,89.89473684,92.27941176,95.0,95.7,92.67
11,10.0,10.0,10.0,9.9,10.0,10.0,10.0,10.0,9.9875,87.89473684,94.11764706,94.0,95.7,92.6
12,10.0,10.0,10.0,9.8,9.5,9.0,9.0,10.0,9.6625,89.42857143,86.58536585,95.5,94.0,90.62
13,10.0,9.9,9.9,10.0,10.0,10.0,9.8,9.8,9.924999999999999,86.15384615,60.42,95.13,94.17,87.04
14,10.0,10.0,9.5,10.0,9.5,9.0,10.0,10.0,9.75,77.90476190000001,78.04878049,96.75,97.0,89.42
15,10.0,9.9,9.5,10.0,10.0,10.0,10.0,10.0,9.925,84.76190476,88.41463415,96.5,96.0,91.84
16,10.0,10.0,10.0,10.0,9.9,9.8,10.0,10.0,9.9625,94.92307692,96.46,95.63,92.5,93.11
17,10.0,10.0,10.0,9.9,10.0,7.0,8.0,8.0,9.1125,76.92307692,84.71,98.88,94.0,88.28
18,9.75,10.0,9.5,9.5,9.5,10.0,9.5,10.0,9.71875,65.78947368,69.85294118,89.0,96.3,85.17
19,10.0,10.0,9.5,9.9,9.25,9.5,10.0,10.0,9.76875,68.47619048,68.90243902,96.5,89.0,85.11
20,10.0,9.9,10.0,8.8,9.5,9.5,10.0,10.0,9.7125,83.61904762,76.2195122,95.0,95.0,88.77
21,0.0,0.0,0.0,10.0,9.9,10.0,9.75,10.0,6.20625,74.10526316,83.82352941,90.0,96.7,78.92
22,10.0,9.9,9.5,9.5,9.5,10.0,10.0,10.0,9.8,72.76190476,79.26829268,95.5,94.0,88.23
23,10.0,10.0,9.75,10.0,9.5,10.0,9.75,10.0,9.875,91.42857143,92.68292683,96.75,97.0,93.31
24,10.0,10.0,10.0,10.0,9.9,9.2,10.0,10.0,9.8875,95.76923077,76.68,98.38,95.17,91.24
25,10.0,10.0,10.0,10.0,10.0,10.0,9.9,10.0,9.9875,93.07692308,85.3,95.5,92.67,91.34
26,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,71.57894737,71.32352941,89.5,91.3,85.58
27,10.0,10.0,10.0,10.0,9.25,10.0,10.0,10.0,9.90625,93.80952381,95.12195122,96.5,96.0,93.7
28,10.0,9.8,9.8,8.0,8.0,8.0,8.0,8.0,8.7,56.92307692,72.86,93.25,95.33,82.59
29,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,93.84615385,94.53,99.63,97.5,94.87
30,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,95.76923077,91.15,98.5,93.0,93.2
31,10.0,10.0,9.9,9.95,9.9,10.0,10.0,10.0,9.96875,90.42105263,91.17647059,90.0,96.3,91.71
