Date,^DJI,^N225,^HSCE,^GSPC,^IXIC,9988.HK
日期,Dow,Nikkei,HSCE,SNP,Nasdaq,阿里巴巴
2019-11-08,27681,23392,10882,3093,8475,
2019-11-07,27493,23330,10936,3077,8411,
2019-11-06,27493,23304,10861,3077,8411,
2019-11-05,27493,23252,10878,3075,8435,
2019-11-04,27462,22851,10813,3078,8433,
2019-11-01,27347,22851,10623,3067,8386,
2019-10-31,27046,22927,10533,3038,8292,
2019-10-30,27187,22843,10479,3047,8304,
2019-10-29,27071,22974,10547,3037,8277,
2019-10-28,27091,22867,10570,3039,8326,
2019-10-25,26958,22800,10466,3023,8243,
2019-10-24,26806,22751,10533,3010,8186,
2019-10-23,26834,22625,10452,3005,8120,
2019-10-22,26788,22549,10527,2996,8104,
2019-10-21,26828,22549,10543,3007,8163,
2019-10-18,26770,22493,10540,2986,8090,
2019-10-17,27026,22452,10588,2998,8157,
2019-10-16,27002,22473,10532,2990,8124,
2019-10-15,27025,22207,10500,2996,8149,
2019-10-14,26787,21799,10508,2966,8049,
2019-10-11,26817,21799,10453,2970,8057,
2019-10-10,26497,21552,10218,2938,7951,
2019-10-09,26346,21456,10169,2919,7904,
2019-10-08,26164,21588,10201,2893,7824,
